id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
219,POM0221,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,57,21,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3309343,101.2209679,41,2.1,Belum,-,-,Wazar,5/30/2021 12:03,200000,11981.66,-,Brown (1997),media/1622359659774.jpg,media/1622359678035.jpg,media/1622359695415.jpg,media/1622421995546.jpg,
220,POM0222,Cimpedak,Artocarpus integer,Pohon Dewasa,icon/mature_tree.svg,Not Defined,60,18,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3309589,101.2207508,38.31,2.09,Belum,-,-,Wazar,5/30/2021 11:35,200000,13641.94,-,Brown (1997),media/1622359747566.jpg,media/1622359758969.jpg,media/1622359772443.jpg,media/1622422092509.jpg,
221,POM0223,Pomponiong,Lithocarpus sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,55,18,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3309475,101.2207373,46.91,2.09,Belum,-,-,Dahlan,5/30/2021 12:17,200000,10946.39,-,Brown (1997),media/1622359815446.jpg,media/1622359828959.jpg,media/1622359846542.jpg,media/1622422180138.jpg,
222,POM0224,Antui,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,41,15,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3309747,101.2207406,42.66,2.09,Belum,-,-,Sahlan,5/30/2021 11:38,200000,5205.91,-,Brown (1997),media/1622359885814.jpg,media/1622359895094.jpg,media/1622359910932.jpg,media/1622422270447.jpg,
223,POM0225,Balam,Palaquium hexandrum,Pohon Dewasa,icon/mature_tree.svg,Near Threatened,68,23,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3309678,101.2207498,44.32,2.09,Belum,-,-,Gusperi,5/30/2021 13:15,200000,18724.1,-,Brown (1997),media/1622359999168.jpg,media/1622360013302.jpg,media/1622360029800.jpg,media/1622422357954.jpg,
224,POM0226,Meranti Batu,Parashorea aptera,Pohon Dewasa,icon/mature_tree.svg,Critically Endangered,44,19,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3307137,101.2208416,44.63,2.12,Belum,-,-,Sahlan,5/30/2021 11:45,200000,6224.27,-,Brown (1997),media/1622360076279.jpg,media/1622360086681.jpg,media/1622360104977.jpg,media/1622422503620.jpg,
225,POM0227,Kolek,Syzygium sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,46,17,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3307253,101.2208293,34.66,2.12,Belum,-,-,Sahlan,5/30/2021 13:20,200000,6965.15,-,Brown (1997),media/1622360161733.jpg,media/1622360175090.jpg,media/1622360193785.jpg,media/1622422592442.jpg,
226,POM0228,Kolek Ubau,Syzygium sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,55,20,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3307109,101.2208142,39.69,2.12,Belum,-,-,Parman,5/30/2021 11:55,200000,10946.39,-,Brown (1997),media/1622360240233.jpg,media/1622360253316.jpg,media/1622360267186.jpg,media/1622422680277.jpg,
227,POM0229,Pomponiong,Lithocarpus sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,41,18,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3307912,101.2209145,42.26,2.11,Belum,-,-,Wazar,5/30/2021 13:25,200000,5205.91,-,Brown (1997),media/1622360312287.jpg,media/1622360324104.jpg,media/1622360338565.jpg,media/1622422815775.jpg,
228,POM0230,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,41,18,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3307341,101.2209281,38.98,2.12,Belum,-,-,Parman,5/30/2021 12:00,200000,5205.91,-,Brown (1997),media/1622360379874.jpg,media/1622360393699.jpg,media/1622360410524.jpg,media/1622422922484.jpg,
229,POM0231,Ridan,Nephelium mangayi,Pohon Dewasa,icon/mature_tree.svg,Not Defined,55,20,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3305347,101.2207351,58.91,2.13,Belum,-,-,Darlisman,5/30/2021 13:45,200000,10946.39,-,Brown (1997),media/1622360473963.jpg,media/1622360487868.jpg,media/1622360504392.jpg,media/1622423060166.jpg,
230,POM0232,Kolek Hitam,Eugenia sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,44,18,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3305821,101.2206915,43.91,2.13,Belum,-,-,Risman,5/30/2021 12:05,200000,6224.27,-,Brown (1997),media/1622360546268.jpg,media/1622360559477.jpg,media/1622360577688.jpg,media/1622423160699.jpg,
231,POM0233,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,67,23,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3304673,101.2209318,45.76,2.15,Belum,-,-,Parman,5/30/2021 14:05,200000,18035.27,-,Brown (1997),media/1622360770906.jpg,media/1622360782853.jpg,media/1622360760703.jpg,media/1622423234735.jpg,
232,POM0234,Kulim,Scorodocarpus borneensis,Pohon Dewasa,icon/mature_tree.svg,Not Defined,60,25,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3305203,101.2210804,52.05,2.15,Belum,-,-,Gusperi,5/30/2021 12:10,200000,13641.94,-,Brown (1997),media/1622360881454.jpg,media/1622360908855.jpg,media/1622360860015.jpg,media/1622423314508.jpg,
233,POM0235,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,41,17,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.330503,101.2210959,48.9,2.15,Belum,-,-,Risman,5/30/2021 14:15,200000,5205.91,-,Brown (1997),media/1622360963557.jpg,media/1622360973469.jpg,media/1622360988301.jpg,media/1622423435711.jpg,
